imsi,app,throughput,latency,packet_loss,sinr,rsrp,cell_load,prb_utilization,mobility,qoe_score,qoe_category
310150954206851,volte,22.22,14.13,0.36,17.13,-98.48,35.56,28.67,24.0,5.0,Excellent
310150925500248,video,0.5,106.89,2.78,3.72,-97.97,90.55,78.89,12.07,1.02,Poor
310150371820813,video,9.58,7.7,1.28,9.58,-99.22,50.66,37.24,32.89,4.26,Excellent
310150350814705,volte,8.11,24.35,1.96,7.64,-103.02,65.0,59.87,57.94,3.64,Good
310150681609465,volte,0.5,86.98,3.26,-0.43,-103.56,87.13,87.05,43.52,1.7,Poor
310150334564360,video,21.01,27.01,0.28,17.0,-96.53,31.16,32.14,22.89,4.97,Excellent
310150168574553,volte,0.5,40.3,2.99,-2.04,-116.15,70.15,72.79,73.73,2.31,Fair
310150519498548,video,21.6,35.69,1.16,15.65,-99.65,10.0,10.0,69.11,4.64,Excellent
310150891274835,volte,10.47,43.85,1.62,11.68,-96.51,67.81,53.14,14.98,3.66,Good
310150916698734,volte,15.97,23.31,0.26,12.5,-94.27,36.27,39.43,3.2,4.65,Excellent
310150887110843,volte,0.95,42.98,2.58,-0.36,-110.09,61.62,55.08,49.51,2.33,Fair
310150624150214,video,14.74,34.64,1.26,10.47,-105.22,31.12,22.92,57.66,4.54,Excellent
310150572432043,volte,2.19,30.3,3.02,-0.95,-97.27,51.49,54.67,83.11,2.43,Fair
310150457319431,video,8.04,26.13,1.97,7.17,-106.83,47.35,38.64,65.49,3.86,Good
310150247697582,video,19.61,27.12,0.61,16.9,-93.25,33.5,23.88,39.11,4.97,Excellent
310150844595490,volte,1.01,58.24,2.52,5.51,-105.25,83.98,76.91,34.54,2.8,Fair
310150784275917,volte,13.46,36.89,0.41,18.17,-104.07,70.45,55.49,2.29,4.84,Excellent
310150705850704,video,7.9,44.93,1.32,10.04,-97.85,73.94,70.18,17.31,4.16,Excellent
310150137709731,video,23.38,22.8,1.13,19.25,-90.94,17.89,10.0,30.18,4.75,Excellent
310150882698033,gaming,19.02,26.01,0.58,16.51,-98.62,31.46,28.94,41.01,4.55,Excellent
310150798027879,video,22.81,13.28,0.51,20.27,-106.69,42.99,39.41,36.27,4.66,Excellent
310150123027075,gaming,0.5,46.34,3.1,-4.12,-118.98,80.66,72.31,49.63,2.09,Fair
310150365047041,gaming,2.45,48.25,1.74,3.75,-92.99,77.53,61.79,19.35,3.47,Good
310150852288765,gaming,13.11,42.09,0.77,11.06,-98.52,39.01,33.36,36.77,4.13,Excellent
310150186191493,volte,20.64,14.5,0.4,16.85,-89.99,52.49,53.06,6.85,4.63,Excellent
310150993102645,volte,18.14,18.68,0.42,12.54,-95.68,40.09,34.27,27.41,4.58,Excellent
310150300619113,video,5.63,38.58,1.71,6.92,-108.12,64.06,50.61,50.26,3.72,Good
310150390770691,gaming,10.69,39.78,1.76,13.46,-99.76,72.59,61.65,45.7,4.03,Excellent
310150893943861,volte,0.5,112.7,3.88,-1.51,-118.67,89.05,72.07,96.96,1.21,Poor
310150234489564,volte,11.46,29.15,1.0,7.95,-92.55,50.62,33.64,19.23,4.17,Excellent
310150496360081,volte,12.1,40.46,0.9,12.76,-95.49,55.96,48.36,32.55,4.41,Excellent
310150207944665,volte,24.26,42.61,0.5,24.75,-87.32,71.0,62.98,22.36,4.3,Excellent
310150957937451,volte,15.98,15.56,1.5,12.9,-89.31,25.19,25.66,29.03,3.64,Good
310150913891745,gaming,7.0,33.04,1.57,4.95,-105.05,37.18,35.06,61.05,3.91,Good
310150723415497,gaming,3.77,30.38,2.2,4.2,-106.32,56.89,53.14,45.01,3.44,Good
310150722028733,gaming,14.12,20.43,0.96,8.58,-102.37,21.33,18.57,64.41,4.2,Excellent
310150858744035,gaming,7.64,118.45,1.76,15.31,-87.29,91.62,91.26,14.61,2.07,Fair
310150520477197,video,12.86,19.16,1.88,8.76,-110.96,20.57,13.89,63.16,3.92,Good
310150838194223,gaming,8.73,58.39,1.2,10.27,-95.96,79.54,68.41,4.76,3.82,Good
310150428740110,volte,15.15,31.36,1.24,11.1,-95.97,15.84,22.23,65.31,4.0,Good
310150480072391,gaming,5.25,23.8,1.94,2.05,-98.99,43.88,36.67,22.33,3.91,Good
310150402554573,video,10.33,18.38,0.72,8.81,-91.63,45.56,39.55,21.46,3.92,Good
310150941739990,volte,0.5,24.44,2.45,-5.0,-113.79,42.44,39.37,33.41,3.12,Good
310150189482491,gaming,12.64,19.85,1.33,11.29,-95.0,24.47,27.37,74.93,4.38,Excellent
310150294249720,gaming,24.3,12.78,0.34,18.49,-96.47,22.32,20.36,3.85,4.63,Excellent
310150423541287,gaming,5.98,11.97,2.0,4.47,-112.56,50.27,39.82,23.72,3.63,Good
310150506019796,volte,4.68,28.33,1.61,4.43,-105.07,47.58,39.82,61.0,3.45,Good
310150695614415,volte,4.48,30.38,1.91,1.17,-106.56,47.42,44.43,26.35,3.21,Good
310150191693393,video,0.5,17.69,2.32,-4.33,-103.71,48.87,41.53,14.33,1.16,Poor
310150270476398,volte,10.38,24.9,0.96,3.6,-109.82,16.57,12.24,28.08,3.82,Good
310150438175028,volte,13.01,37.33,1.44,13.11,-97.44,64.46,52.06,25.72,4.12,Excellent
310150472593431,gaming,13.75,28.79,1.84,7.92,-105.89,26.94,29.68,69.69,3.97,Good
310150558502041,volte,3.24,68.38,2.72,5.91,-89.78,84.46,73.71,51.28,2.73,Fair
310150232862715,gaming,32.58,12.1,0.0,26.73,-90.81,27.97,24.03,32.98,5.0,Excellent
310150559708603,gaming,5.87,57.61,2.6,10.23,-102.24,70.4,65.35,94.75,2.69,Fair
310150283378299,volte,15.47,15.05,0.71,13.93,-98.14,48.38,35.77,30.53,4.41,Excellent
310150211665644,video,5.91,23.98,0.97,6.85,-89.96,62.02,54.79,4.65,3.83,Good
310150705264936,video,32.9,18.39,0.44,24.67,-88.54,25.22,29.72,18.28,5.0,Excellent
310150298743196,volte,13.33,73.47,1.63,15.16,-87.05,79.74,69.85,28.76,3.8,Good
310150324184334,video,25.12,22.3,0.12,19.69,-86.57,31.62,28.92,11.58,4.68,Excellent
310150809816108,gaming,13.1,23.18,1.89,8.5,-105.1,36.29,32.92,76.65,4.07,Excellent
310150420192576,gaming,0.5,62.78,3.02,-1.71,-100.42,81.59,77.1,51.72,1.72,Poor
310150167157848,volte,26.39,17.66,0.0,22.69,-87.39,39.08,35.4,18.65,5.0,Excellent
310150844753672,video,27.17,21.99,0.44,18.79,-89.82,22.83,32.44,38.46,4.84,Excellent
310150195540567,video,8.98,33.73,1.81,8.14,-98.13,43.72,39.63,47.89,4.37,Excellent
310150722261376,gaming,4.34,37.75,2.98,3.03,-112.9,66.87,56.67,75.07,2.9,Fair
310150953477355,volte,0.5,200.0,3.61,-5.0,-107.33,96.17,92.19,64.3,1.0,Poor
310150286780295,video,19.99,30.47,0.7,16.12,-95.49,41.37,35.35,33.61,4.84,Excellent
310150123717335,volte,5.39,28.09,1.94,7.84,-100.6,65.45,54.6,52.42,3.8,Good
310150160472382,video,20.37,18.57,0.89,15.18,-89.89,26.35,17.24,36.58,4.79,Excellent
310150381154698,gaming,23.94,15.65,0.47,19.64,-98.8,20.58,20.51,35.98,4.73,Excellent
310150954021618,gaming,6.21,107.23,1.91,11.6,-95.07,90.56,77.41,8.73,2.3,Fair
310150988445520,volte,0.5,28.82,2.04,1.91,-100.25,77.77,64.55,9.51,3.09,Good
310150272552610,gaming,2.6,79.08,2.77,5.38,-96.42,87.34,74.03,34.5,1.83,Poor
310150191355424,video,20.82,5.0,0.29,16.09,-84.06,29.59,24.23,18.68,4.5,Excellent
310150555094650,gaming,23.78,5.17,0.12,18.25,-88.91,25.42,26.53,1.74,5.0,Excellent
310150418019332,volte,8.39,20.61,2.13,2.08,-99.63,13.25,14.08,48.0,3.38,Good
310150857206505,volte,14.54,14.84,0.83,9.58,-102.31,10.0,10.0,2.66,4.18,Excellent
310150565856742,volte,15.81,21.07,0.1,14.77,-106.38,43.72,41.28,38.76,4.6,Excellent
310150748870905,video,4.9,59.47,2.14,9.86,-97.25,85.82,74.99,35.12,3.36,Good
310150597653800,video,9.07,72.72,2.52,13.59,-102.44,84.25,75.17,83.48,3.73,Good
310150808496411,video,5.77,11.48,1.95,0.43,-99.51,38.4,30.46,31.69,3.35,Good
310150585775494,video,21.75,14.44,0.35,19.62,-96.05,36.08,28.46,5.05,4.92,Excellent
310150529662408,video,3.08,77.52,2.56,7.94,-91.2,85.87,76.32,35.91,2.8,Fair
310150629561415,gaming,4.24,12.37,1.83,2.49,-110.91,35.08,31.64,59.16,3.84,Good
310150956634123,video,0.5,57.36,3.38,-5.0,-111.85,76.57,72.43,106.55,1.19,Poor
310150447454369,video,26.15,5.0,0.0,20.13,-96.46,21.35,21.28,28.41,4.95,Excellent
310150509783328,gaming,9.17,15.87,1.28,6.37,-92.48,27.39,21.64,21.8,4.26,Excellent
310150372981039,video,0.5,94.68,3.89,-5.0,-108.87,88.22,71.23,68.15,1.0,Poor
310150618910454,volte,25.04,5.0,0.14,18.78,-96.91,12.32,15.25,13.82,4.79,Excellent
310150361917078,video,16.64,8.55,0.61,12.19,-97.78,25.56,24.15,40.11,4.78,Excellent
310150825167677,video,20.66,33.01,0.6,16.56,-100.15,30.53,31.72,26.93,4.7,Excellent
310150422909911,volte,9.78,59.89,1.48,10.91,-95.85,82.34,74.75,3.33,3.6,Good
310150812631076,volte,29.27,44.75,1.05,30.0,-90.53,78.46,78.07,23.43,4.28,Excellent
310150492121003,volte,18.24,17.98,0.94,16.67,-77.33,43.02,36.78,18.46,3.98,Good
310150690804839,volte,16.1,16.02,1.17,14.27,-100.63,44.5,39.37,45.15,4.13,Excellent
310150206179285,video,0.5,44.98,2.96,-1.36,-107.29,67.07,62.97,76.98,1.0,Poor
310150689324250,volte,30.4,14.21,0.0,25.67,-89.78,16.91,19.19,18.63,5.0,Excellent
310150363038498,volte,0.5,42.96,2.71,3.05,-101.61,64.03,57.98,55.96,2.79,Fair
310150670916578,gaming,6.15,28.84,0.6,5.36,-91.76,49.73,35.81,4.43,4.54,Excellent
310150613653348,volte,20.0,28.27,0.85,12.5,-86.19,14.05,10.0,35.05,4.31,Excellent
310150524831618,volte,10.52,59.86,1.1,11.01,-100.66,80.79,69.17,5.57,4.02,Excellent
310150146321408,gaming,8.45,24.32,1.77,6.56,-100.66,27.61,24.41,73.4,3.99,Good
310150363183577,gaming,0.5,30.78,2.61,0.05,-105.07,69.73,52.02,51.67,2.42,Fair
310150190053374,video,10.4,17.87,1.16,6.05,-98.99,23.31,20.36,43.08,4.41,Excellent
310150126063245,gaming,11.46,28.39,0.69,9.86,-93.96,48.01,45.5,57.26,4.54,Excellent
310150273660954,video,6.08,53.57,1.62,9.87,-89.62,76.93,67.41,42.34,3.69,Good
310150197636744,gaming,21.7,22.13,0.99,14.38,-95.76,21.24,20.17,83.53,4.18,Excellent
310150862532878,gaming,0.5,29.3,2.58,-4.17,-103.52,67.77,62.58,47.29,2.26,Fair
310150576272473,video,6.37,29.91,2.07,2.94,-98.42,37.34,24.85,71.44,3.51,Good
310150209174313,gaming,12.6,56.78,1.72,14.04,-102.04,68.57,63.61,33.73,3.5,Good
310150913194107,video,0.5,137.49,2.21,3.4,-103.54,91.97,77.27,8.89,1.19,Poor
310150563390156,gaming,15.63,32.07,0.79,12.27,-96.75,40.48,34.43,34.42,4.43,Excellent
310150966377394,volte,27.55,44.57,0.79,26.36,-83.07,78.23,65.54,9.56,4.25,Excellent
310150234987326,gaming,0.5,41.56,3.22,-5.0,-106.79,75.7,71.98,38.57,1.98,Poor
310150726049887,video,15.02,24.49,1.09,12.13,-98.72,23.82,15.1,31.58,4.57,Excellent
310150685878246,gaming,11.19,41.38,0.61,13.14,-109.82,59.22,59.02,40.6,4.28,Excellent
310150376406835,video,15.52,11.66,0.57,7.88,-82.39,26.6,35.37,0.84,4.68,Excellent
310150371766524,video,14.26,14.03,1.09,11.45,-97.77,38.87,26.45,14.05,4.47,Excellent
310150136810847,volte,8.85,13.19,1.32,5.35,-116.79,17.58,12.54,32.13,3.64,Good
310150939735171,volte,13.9,33.65,1.86,11.19,-100.78,47.44,44.81,77.45,3.87,Good
310150776742877,video,9.57,18.29,1.41,7.84,-95.96,31.31,22.59,25.6,4.0,Good
310150698424036,gaming,5.73,41.23,1.39,4.41,-101.75,72.56,62.49,28.05,3.9,Good
310150548469222,video,16.11,37.54,0.38,15.21,-103.12,49.26,44.23,47.35,4.75,Excellent
310150788839404,video,9.61,52.71,1.68,10.33,-93.56,74.51,62.0,39.32,3.96,Good
310150271116174,gaming,18.43,23.14,0.57,17.13,-89.96,52.64,46.73,20.51,4.46,Excellent
310150123841962,gaming,31.31,16.54,0.26,26.48,-88.32,16.72,19.46,27.24,4.77,Excellent
310150972141340,gaming,4.47,53.43,1.64,8.29,-102.36,76.6,67.02,15.51,3.59,Good
310150928299788,gaming,27.29,32.54,1.04,23.56,-100.9,31.39,22.43,82.4,4.22,Excellent
310150430626207,video,10.39,39.59,0.91,11.55,-98.1,59.62,58.29,9.82,4.44,Excellent
310150524623942,video,23.82,26.95,0.3,20.46,-96.18,42.5,44.34,24.9,4.73,Excellent
310150270731194,volte,12.06,18.56,0.0,13.09,-90.99,38.02,35.3,2.13,5.0,Excellent
310150936594930,video,22.6,14.1,0.11,18.62,-96.03,35.1,25.98,15.76,4.95,Excellent
310150792440149,gaming,1.62,20.19,1.91,4.5,-108.11,58.18,46.81,52.95,3.68,Good
310150660355099,volte,29.1,24.56,0.0,23.19,-89.19,26.85,11.78,14.46,5.0,Excellent
310150871795521,gaming,17.56,35.5,0.17,18.28,-78.75,61.37,51.04,6.26,4.92,Excellent
310150634096553,video,0.5,107.98,2.07,3.74,-105.62,89.12,83.75,31.09,1.38,Poor
310150349625132,volte,12.38,10.1,0.58,13.12,-98.88,49.29,39.96,0.84,4.51,Excellent
310150295995197,gaming,12.48,16.39,0.54,8.76,-97.58,18.24,11.27,6.6,4.68,Excellent
310150672964792,volte,8.41,35.67,1.62,12.58,-94.86,68.53,65.42,55.57,3.77,Good
310150553094388,volte,10.37,35.47,1.33,12.76,-95.65,63.77,61.87,52.13,3.88,Good
310150621669253,video,4.74,17.09,2.36,-0.6,-106.55,44.38,36.37,69.64,3.25,Good
310150987059227,gaming,29.18,22.87,1.03,23.75,-97.98,45.0,42.15,60.75,4.45,Excellent
310150330519835,volte,11.93,25.23,0.86,12.25,-86.05,46.14,36.26,44.93,4.22,Excellent
310150901312299,volte,14.17,19.3,0.57,11.86,-88.54,35.27,29.32,4.2,4.56,Excellent
310150815154771,gaming,22.87,30.4,0.87,18.57,-86.39,35.63,22.25,53.18,4.45,Excellent
310150712286237,volte,2.27,51.48,2.47,2.53,-99.54,65.28,59.25,59.67,3.4,Good
310150672434365,volte,25.46,21.07,0.45,20.8,-96.6,22.5,19.29,54.73,4.24,Excellent
310150268973642,volte,0.5,39.8,2.15,-1.29,-100.69,73.71,61.5,33.19,3.11,Good
310150419309439,gaming,6.2,41.54,1.48,6.68,-87.66,72.23,63.1,16.46,3.92,Good
310150346703609,gaming,10.28,28.63,1.6,8.8,-98.17,38.46,32.77,59.65,4.28,Excellent
310150624363766,gaming,1.71,22.97,1.97,4.0,-112.54,58.05,46.95,48.35,3.9,Good
310150727457371,gaming,0.5,32.36,3.19,-0.7,-99.1,63.26,57.67,89.26,2.25,Fair
310150556545752,video,2.12,61.82,1.82,4.71,-89.89,75.94,65.34,11.5,3.13,Good
310150392072678,volte,0.5,54.47,1.92,3.63,-92.26,79.84,69.59,16.01,3.08,Good
310150773573053,gaming,13.72,23.09,0.43,10.16,-105.05,29.56,18.71,15.13,4.45,Excellent
310150572669408,volte,20.3,33.07,0.33,18.58,-94.55,48.76,42.28,54.09,4.58,Excellent
310150195057280,volte,21.68,20.78,0.05,16.28,-88.26,32.09,27.34,13.54,4.94,Excellent
310150734324250,video,13.65,27.16,0.96,12.47,-95.16,38.01,29.32,5.28,4.4,Excellent
310150860672189,gaming,0.5,144.7,3.16,5.01,-104.82,90.76,82.52,111.74,1.0,Poor
310150102235000,gaming,21.72,16.84,0.0,15.17,-90.54,16.9,10.0,2.05,5.0,Excellent
310150392121203,volte,1.05,75.49,3.01,-1.61,-110.28,84.56,72.0,58.5,1.79,Poor
310150540529868,gaming,5.65,31.55,2.17,-0.66,-99.29,48.24,44.01,24.51,2.87,Fair
310150575584232,volte,9.16,66.45,2.32,11.03,-106.24,82.87,83.42,59.22,3.23,Good
310150335283714,volte,0.5,58.97,3.13,-5.0,-105.42,84.02,67.11,36.1,2.48,Fair
310150129859174,video,0.5,37.53,2.2,-3.36,-110.21,52.56,46.7,67.32,1.26,Poor
310150807191493,video,3.16,62.85,2.63,6.81,-97.8,82.8,75.6,71.75,2.87,Fair
310150146159303,video,15.55,7.94,0.57,14.34,-90.12,29.11,25.93,0.76,4.9,Excellent
310150246412954,volte,24.8,11.55,0.49,21.62,-88.24,51.66,39.3,5.92,4.26,Excellent
310150819024776,gaming,4.0,19.92,1.31,3.56,-98.15,73.04,61.85,17.54,3.91,Good
310150926506464,video,8.85,39.64,1.53,11.26,-96.34,76.68,55.27,43.9,4.09,Excellent
310150614817842,gaming,7.9,37.38,2.16,5.09,-91.15,61.01,53.71,65.26,3.41,Good
310150183375337,video,19.63,33.94,1.08,14.05,-88.75,48.21,35.34,30.2,4.4,Excellent
310150476304299,video,5.79,49.78,1.7,7.08,-106.03,78.93,71.74,39.54,3.89,Good
310150928540878,volte,7.24,48.27,1.18,10.95,-99.76,80.6,67.66,13.65,4.13,Excellent
310150822804538,video,17.9,20.64,0.89,13.87,-100.11,16.2,10.52,55.31,4.88,Excellent
310150414404213,video,8.42,37.53,1.69,7.47,-105.17,58.82,52.6,82.9,3.74,Good
310150180705119,volte,9.07,18.32,0.71,4.8,-104.4,36.12,33.09,18.66,4.38,Excellent
310150349546199,gaming,15.83,27.77,1.45,13.01,-93.77,28.0,28.99,32.34,3.88,Good
310150971959784,video,22.55,11.58,0.0,19.05,-93.1,22.67,18.64,6.7,4.78,Excellent
310150760721331,volte,12.81,16.16,0.76,11.78,-96.82,28.64,24.67,36.39,4.36,Excellent
310150588035440,video,3.09,41.55,1.54,6.44,-110.22,72.2,56.6,32.83,3.3,Good
310150378710077,volte,3.72,22.03,1.56,0.09,-110.1,33.42,36.65,10.75,3.22,Good
310150116816569,gaming,18.53,65.86,0.8,17.95,-98.29,73.75,60.23,29.12,4.18,Excellent
310150107654909,gaming,3.6,34.99,1.82,1.87,-97.29,42.02,40.6,22.63,3.32,Good
310150943120422,volte,0.5,30.74,1.35,4.6,-97.93,56.7,53.56,34.02,3.46,Good
310150318520688,volte,0.5,46.31,2.55,0.66,-96.67,77.3,70.02,38.12,2.56,Fair
310150736028516,volte,9.77,32.72,1.0,11.64,-99.41,69.95,60.37,0.71,4.14,Excellent
310150249638768,gaming,4.26,51.48,2.38,7.46,-96.97,79.31,67.98,51.2,2.7,Fair
310150258428240,video,15.56,24.17,0.72,15.71,-88.27,31.35,27.26,47.22,5.0,Excellent
310150172073914,gaming,11.62,37.97,1.33,13.12,-91.04,68.04,50.36,24.57,4.07,Excellent
310150570575216,volte,25.52,31.44,0.37,22.42,-98.94,61.31,53.82,4.24,4.51,Excellent
310150111506305,volte,5.59,14.75,1.98,5.93,-95.0,54.62,55.5,50.67,3.58,Good
310150791648731,gaming,0.5,88.58,3.84,-3.62,-105.85,87.87,76.2,78.79,1.0,Poor
310150321099573,volte,13.99,28.65,0.67,11.67,-93.82,29.63,25.91,16.91,4.52,Excellent
310150241951830,gaming,8.36,9.55,1.82,4.96,-84.68,31.97,23.02,22.0,3.98,Good
310150223035620,volte,2.81,27.98,1.41,6.46,-96.85,68.65,61.34,13.34,3.71,Good
310150508327903,video,3.16,18.47,2.32,0.75,-98.84,32.45,24.66,37.55,2.92,Fair
310150779746784,video,5.34,39.61,1.9,3.94,-98.61,62.02,58.83,11.45,3.38,Good
310150677034624,volte,2.44,29.55,2.08,-1.48,-103.85,50.61,50.24,23.96,3.4,Good
310150876124029,gaming,21.98,20.99,0.52,19.11,-93.8,35.71,38.22,45.98,4.55,Excellent
310150722318721,video,16.41,17.18,0.72,12.46,-100.48,32.38,21.28,36.45,4.6,Excellent
310150232863028,gaming,30.48,12.66,0.36,26.12,-90.63,27.68,27.97,25.77,4.81,Excellent
310150949472217,volte,13.69,25.86,1.07,15.76,-97.62,68.02,63.09,27.8,3.84,Good
310150327174085,gaming,18.99,18.74,0.44,18.3,-108.0,47.75,39.95,36.58,4.77,Excellent
310150498129398,video,10.99,32.18,0.71,11.65,-98.13,44.46,45.09,0.49,4.41,Excellent
310150839316547,gaming,21.6,27.07,0.42,17.51,-87.58,29.25,27.81,6.15,4.75,Excellent
310150447262390,gaming,11.91,20.98,1.66,4.66,-100.17,23.15,27.24,64.25,3.87,Good
310150149905866,volte,0.5,52.11,1.83,4.05,-100.1,81.83,65.68,6.1,3.31,Good
310150613911991,volte,18.91,30.01,0.71,12.14,-98.25,23.65,17.25,46.73,4.37,Excellent
310150328233509,volte,0.5,49.51,3.53,-5.0,-112.51,76.52,67.8,70.54,2.38,Fair
310150605874711,video,1.65,62.41,2.69,3.43,-104.18,81.46,77.55,18.79,2.41,Fair
310150668249203,video,10.64,24.35,0.66,14.02,-96.22,65.6,60.0,24.82,4.58,Excellent
310150673505733,volte,1.88,49.92,2.14,2.93,-103.01,76.41,62.5,37.02,3.28,Good
310150739196117,volte,4.73,23.86,1.58,3.65,-108.22,40.9,44.87,64.31,3.51,Good
310150253651082,video,13.38,28.73,1.63,7.88,-103.32,20.15,16.26,75.22,4.39,Excellent
310150385322750,video,12.78,40.69,0.53,13.37,-105.24,54.82,43.66,49.37,4.63,Excellent
310150487791599,video,16.15,16.21,0.78,14.1,-85.28,49.83,39.97,6.74,4.49,Excellent
310150307640719,video,1.55,44.47,2.62,4.12,-96.43,78.11,62.07,43.89,2.57,Fair
